Startup Name ,City,INDUSTRY,Funding Stage,Amount,Funding Date,Investors,Founded Year
LearnLive,ahmedabad,Gaming,SERIES D,40 Cr,2022/01/17,Nexus Venture Partners,2022.0
Simplilearn,Chennai,E-Commerce,PRE-SERIES A,"₹2,221 Cr",17-11-2019,"Y Combinator, Kalaari Capital",2018.0
StyleHub,Noida,Electric-Vehicles,Seed,151,30-03-2015,"Endiya Partners, Lightrock",2012.0
Flipkart,NOIDA,TravelTech,SERIES E,INR 136 Crore,11 Aug 2021,Goldman Sachs,2018.0
Zerodha,hyderabad,PROPTECH,SERIES A,940 Cr,2023/11/18,"Goldman Sachs, Inventus Capital, Kunal Shah",2019.0
CleanSlate,Ahmedabad,Fintech,Series-C,3525 Cr,2021/02/24,"General Atlantic, Peak XV Partners, B Capital",2015.0
ChargeNow,BENGALURU,healthtech,SEED,58 Cr,18-07-2019,"Naspers, Kunal Shah",2019.0
Urban Company,KOLKATA,PROPTECH,Series-B,₹112 Cr,19-05-2020,"Matrix Partners, Prosus Ventures",2010.0
HealthLink,Noida,Games,SERIES E,₹26 Cr,19/11/2021,"General Atlantic, Lightspeed, Ranjan Pai",2017.0
Studyo,Gurugram,Food-Tech,series_b,3545,16 Jun 2020,"General Atlantic, DST Global",2014.0
Harvestify,AHMEDABAD,Agri Tech,series b,8 Cr,22-09-2019,,2018.0
GreenBowl,pune,Edtech,Seed,INR 3503 Crore,27 Nov 2020,"Bain Capital, Norwest Venture, General Atlantic",2016.0
LearnLive ,hyderabad,LOGISTICS,Pre Seed,16 Cr,15-04-2021,"Inventus Capital, Goldman Sachs",2019.0
CreditMate,New Delhi,LOGISTICS,series_b,₹468 Cr,2016/11/03,"Prosus Ventures, Nexus Venture Partners, Y Combinator",
 RuralKart,DELHI,AI-ML,Series-D,₹44 Cr,2017/04/08,"3one4 Capital, Blume Ventures",2015.0
Dunzo,MUMBAI,AI/ML,Preseed,₹36 Cr,07-08-2017,"Lightrock, Kalaari Capital",2014.0
BillBoss,Hyderabad,Health-Tech,ipo,55 Cr,05-08-2022,Norwest Venture,2019.0
Paytm,Pune,EV,SERIES C,INR 3533 Crore,2024/06/02,DST Global,2019.0
EduSmart,MUMBAI,AI ML,PRE-SEED,84,08-06-2024,"Lightspeed, SoftBank",2015.0
VitalCare,ahmedabad,GAMING,series d,146 Cr,20-03-2017,Tiger Global,2017.0
HealthLink,Delhi,LOGISTICS,Bridge,684,01-07-2017,"SoftBank, B Capital, Kunal Shah",2017.0
MediQ,Mumbai,Games,ipo,37,13-03-2019,"Kunal Shah, Sequoia Capital, Endiya Partners",2016.0
Nykaa,DELHI,logistics,BRIDGE,₹3515 Cr,04-12-2023,General Atlantic,2021.0
PhonePe,Bombay,saas,SERIES A,216 Cr,10/05/2022,"Temasek, Bain Capital",2014.0
 RuralKart,NEW DELHI,Gaming,Pre Seed,INR 2229 Crore,08/07/2021,"Nexus Venture Partners, Falcon Edge, Mukesh Bansal",2014.0
BookMyService,Madras,AI ML,SERIES A,1443 Cr,21-01-2020,"Coatue, Nexus Venture Partners",2015.0
QuickFix,Gurgaon,ECOMMERCE,SERIES A,INR 284 Crore,2021/03/17,"Matrix Partners, Temasek, Ratan Tata",2017.0
 DocOnTime,NOIDA,PROPTECH,SERIES A,152,20 Mar 2022,Sequoia Capital,2014.0
MakeMyTrip,NOIDA,gaming,IPO,"₹2,218 Cr",30 Jul 2023,TPG,2020.0
DermaPlus,Gurgaon,Health Tech,series e,711,07/01/2023,Elevation Capital,2019.0
Cuemath,PUNE,Beauty-Tech,Pre-Seed,₹21 Cr,03/04/2022,"Peak XV Partners, Ratan Tata",2019.0
Doubtnut,BOM,EDTECH,BRIDGE,Undisclosed,26-09-2021,Naspers,2012.0
GreenBowl,hyderabad,ecommerce,series_b,INR 44 Crore,15-07-2023,Mukesh Bansal,2021.0
Games24x7,AHMEDABAD,AI/ML,ipo,1406,15-12-2022,"Mukesh Bansal, Goldman Sachs",2016.0
FastTrack Logistics,hyderabad,Ecommerce,Pre Series A,₹1427 Cr,17/02/2018,"Y Combinator, Sequoia Capital",
DocOnTime,Calcutta,AI ML,Series-A,684 Cr,2024/05/31,"Ratan Tata, Nexus Venture Partners, Inventus Capital",2022.0
GreenBowl ,bangalore,AgriTech,series_a,Undisclosed,,"Lightspeed, Endiya Partners",2021.0
DocOnTime,CHENNAI,FOOD-TECH,Pre Seed,₹491 Cr,06/03/2022,"Accel, Coatue",2015.0
Swiggy,AHMEDABAD,FoodTech,BRIDGE,₹489 Cr,25-01-2016,,2008.0
Urban Company,Ahmedabad,AIML,Series-D,INR 108 Crore,2023/02/18,"General Atlantic, Coatue",2012.0
 Postman,PUNE,Health-Tech,Preseed,326 Cr,06/09/2022,Bain Capital,2015.0
HarvestPro,KOLKATA,AI/ML,Series E,79 Cr,04/08/2021,"TPG, Kunal Shah",2014.0
Curefoods ,NOIDA,TRAVELTECH,Seed,695,04/03/2021,Lightspeed,2014.0
GroomGuru,Noida,Gaming,SERIES E,3497,21 Mar 2021,"Accel, Naspers",2019.0
StyleHub,Chennai,Games,SERIES E,25,05 Jan 2016,"Steadview Capital, Lightrock",2015.0
 Curefoods,BLR,Food-Tech,Preseed,2230,14-03-2024,"General Atlantic, Prosus Ventures, Tiger Global",2020.0
VitalCare,mumbai,TRAVELTECH,Preseed,₹283 Cr,2021/11/28,Accel,2016.0
Cuemath ,NEW DELHI,FINTECH,series_a,₹85 Cr,2024/03/01,"Mukesh Bansal, Bain Capital",2018.0
MediConnect,bengaluru,foodtech,SERIES C,304,2022/04/10,"3one4 Capital, Y Combinator",
Watchio,KOLKATA,HEALTHTECH,Bridge,₹147 Cr,2009/04/11,"Matrix Partners, Ratan Tata",2008.0
BillBoss,Mumbai,BEAUTYTECH,Series D,₹58 Cr,19-07-2018,"Mukesh Bansal, Falcon Edge",2018.0
FinSphere,HYDERABAD,Prop-Tech,series d,₹229 Cr,24/02/2023,"Elevation Capital, Tiger Global",2015.0
Mamaearth,NOIDA,AgriTech,series_b,117 Cr,20-03-2021,"General Atlantic, Endiya Partners, Temasek, Sequoia Capital",2015.0
EcoMotor,bengaluru,gaming,SERIES A,2244 Cr,19 Feb 2024,"Y Combinator, Info Edge",2022.0
FinSphere,Noida,saas,Seed,₹119 Cr,26-01-2016,"Lightspeed, Elevation Capital",2016.0
Practo,Gurugram,Beauty-Tech,SERIES D,₹103 Cr,15-07-2022,Tiger Global,2021.0
Watchio,GGN,PropTech,ipo,₹213 Cr,30/11/2022,"General Atlantic, Steadview Capital",2012.0
MakeMyTrip,NOIDA,Electric Vehicles,series c,2202 Cr,27 Feb 2023,Info Edge,2022.0
Dream11 ,MUMBAI,EV,Pre Seed,134 Cr,2021/09/16,"Lightrock, Inventus Capital, Lightspeed",2019.0
RuPayPro,Bombay,BeautyTech,BRIDGE,197,22-07-2017,"Chiratae Ventures, Tiger Global",2012.0
FlyHigh,Ahmedabad,AGRITECH,ipo,23 Cr,14-06-2021,Chiratae Ventures,2016.0
PayBuddy,pune,Gaming,series d,₹77 Cr,2024/01/17,"Naspers, Bain Capital, B Capital",
MediQ,chennai,Beauty-Tech,SEED,₹111 Cr,08-02-2019,"TPG, Lightspeed, Elevation Capital",2019.0
 CureFit,pune,Gaming,series b,1442,30 Mar 2024,Y Combinator,2017.0
RentalHub,chennai,Ecommerce,SERIES C,₹31 Cr,2016/06/07,"Bain Capital, B Capital",
DermaPlus,Madras,AI/ML,SERIES B,₹291 Cr,23/05/2011,TPG,2008.0
FitnessPlus,Pune,AI/ML,Series-E,1430 Cr,06-06-2024,Chiratae Ventures,2022.0
GreenWheels ,GGN,Ecommerce,Series-B,₹930 Cr,13/05/2023,"Inventus Capital, Endiya Partners, Lightspeed",2022.0
 PropMart,Pune,AI/ML,series b,₹5 Cr,18 Feb 2023,"Y Combinator, Steadview Capital, Bain Capital",2012.0
CureFit,MUMBAI,Ecommerce,PRE-SEED,INR 3540 Crore,30/08/2021,Lightrock,2015.0
StayEasy,HYD,E-Commerce,Series A,"₹2,249 Cr",17/10/2022,"Chiratae Ventures, Y Combinator",2021.0
Swiggy,GGN,FINTECH,IPO,INR 45 Crore,30 Apr 2016,"Temasek, Inventus Capital, Goldman Sachs",2010.0
QuickPay India,Ahmedabad,AI-ML,Series-C,13,28 Sep 2020,"Temasek, DST Global, Inventus Capital",2010.0
CleanSlate,KOLKATA,AI/ML,Series-D,315,2022/11/22,"Lightspeed, Matrix Partners",2021.0
PropMart,Delhi,Edtech,SERIES B,3534 Cr,06 May 2019,Steadview Capital,2012.0
FlyHigh,NOIDA,BEAUTYTECH,SEED,291,28-03-2023,"Kunal Shah, Goldman Sachs",2020.0
MakeMyTrip,Madras,TRAVELTECH,Bridge,2203 Cr,2010/10/14,Coatue,2008.0
ClassroomX,NOIDA,Fintech,bridge,₹1418 Cr,23-03-2022,"3one4 Capital, Peak XV Partners, Kunal Shah, Matrix Partners",2022.0
WealthWiz,Kolkata,Gaming,IPO,₹3549 Cr,2008/02/22,Elevation Capital,2008.0
ShopEasy,BENGALURU,Games,Series E,47,02/03/2014,"Lightrock, Matrix Partners, Mukesh Bansal",2008.0
VitalCare,KOLKATA,Beauty-Tech,series c,₹56 Cr,21-07-2022,Kalaari Capital,2015.0
FetchIt,BENGALURU,Gaming,series_a,150 Cr,03-04-2024,Norwest Venture,2022.0
BillBoss,Bengaluru,AI/ML,SERIES B,₹64 Cr,24 Oct 2023,"Lightrock, Goldman Sachs, Matrix Partners",2022.0
TaskHero,Calcutta,logistics,SEED,51,02 Jan 2023,"B Capital, Falcon Edge",2022.0
Swiggy,Hyderabad,ev,Pre Seed,295 Cr,18 Jan 2017,"Ranjan Pai, Naspers, DST Global",2015.0
1mg,GGN,FOOD-TECH,Bridge,INR 2245 Crore,25 May 2024,"Ranjan Pai, Falcon Edge, Info Edge",2012.0
CreditMate,Calcutta,Health Tech,Seed,₹289 Cr,09 Aug 2016,"3one4 Capital, Coatue",2010.0
BigBasket,Calcutta,TravelTech,Pre-Seed,Undisclosed,30 Aug 2021,Chiratae Ventures,2021.0
BookMyService,KOLKATA,AI/ML,SEED,₹726 Cr,29/01/2019,"Kalaari Capital, Peak XV Partners, Elevation Capital, Ranjan Pai",2019.0
Ola,pune,PROPTECH,Series-E,727,20 Mar 2023,Naspers,2021.0
MediConnect,NOIDA,Health-Tech,SEED,Undisclosed,2019/01/15,"Prosus Ventures, Bain Capital, Nexus Venture Partners",2019.0
Mamaearth,HYD,PropTech,Series D,"₹2,235 Cr",19 Sep 2018,"Chiratae Ventures, TPG, Bain Capital",2012.0
TripScribe,delhi,HEALTHTECH,Pre-A,₹933 Cr,,"Ranjan Pai, B Capital",2012.0
 Udaan,GURUGRAM,GAMING,Series A,480 Cr,,"Y Combinator, DST Global",2021.0
BoldFoods,Hyderabad,AGRITECH,Series C,INR 1449 Crore,06-08-2013,B Capital,2010.0
Ola,hyderabad,AI/ML,series c,₹1429 Cr,2021/02/25,Tiger Global,2015.0
Postman,pune,AIML,SEED,₹2205 Cr,10/07/2018,"General Atlantic, Naspers",2017.0
AgriConnect,hyderabad,Electric Vehicles,Pre-Series A,₹686 Cr,25 Jan 2024,"DST Global, Naspers",2010.0
 FinSphere,CHENNAI,TravelTech,Series-B,927 Cr,09 Nov 2020,"General Atlantic, Y Combinator, SoftBank, Nexus Venture Partners",2019.0
HealthLink,ahmedabad,AI ML,Series-E,INR 700 Crore,16-03-2021,"DST Global, Temasek",2021.0
OYO,DELHI,Logistics,Pre-A,₹8 Cr,2022/03/07,"Nexus Venture Partners, Lightrock",2022.0
PropMart,Delhi,TRAVELTECH,series c,₹2201 Cr,06/10/2023,"SoftBank, Info Edge",2021.0
CureFit,NOIDA,BEAUTYTECH,SERIES A,₹54 Cr,2019/12/06,Mukesh Bansal,2015.0
QuickPay India,Ahmedabad,saas,SERIES C,₹915 Cr,25 Dec 2010,"Naspers, Nexus Venture Partners, Ranjan Pai",2010.0
DocOnTime,mumbai,TRAVELTECH,SEED,3529 Cr,10/01/2021,"Accel, Falcon Edge",2019.0
PlayTime Games,NOIDA,AI ML,series e,₹475 Cr,23/06/2022,"Norwest Venture, Matrix Partners",2022.0
MediConnect,chennai,Prop-Tech,series d,₹277 Cr,15 Feb 2017,"Peak XV Partners, Sequoia Capital",2016.0
CropCare,gurgaon,E-commerce,ipo,"₹3,518 Cr",15-09-2021,Ranjan Pai,2021.0
Practo,ahmedabad,E-commerce,SERIES A,INR 121 Crore,02 Aug 2021,"Bain Capital, General Atlantic",2020.0
Practo,NOIDA,TRAVELTECH,IPO,INR 324 Crore,05-05-2012,"Info Edge, Ranjan Pai, General Atlantic",2008.0
CleanSlate,NOIDA,Travel-Tech,Pre Series A,INR 3521 Crore,16-06-2023,"Peak XV Partners, Lightspeed",2012.0
Nykaa,pune,Agri Tech,Series-B,INR 1 Crore,29 Nov 2019,"Norwest Venture, Goldman Sachs, Nexus Venture Partners",2016.0
SmartScholar,AHMEDABAD,AI-ML,series b,₹145 Cr,23 Jun 2022,"Accel, DST Global, Y Combinator",2008.0
upGrad,Gurgaon,foodtech,ipo,₹3517 Cr,2020/07/21,"Endiya Partners, Matrix Partners, SoftBank",2016.0
BigBasket,Mumbai,PROPTECH,Pre-A,₹113 Cr,2022/06/25,"Accel, Matrix Partners, B Capital",2021.0
FundFlow,Bangalore,Prop-Tech,Series-C,28,10-07-2018,"SoftBank, Peak XV Partners",2010.0
GreenBowl,NOIDA,PROPTECH,Series B,INR 925 Crore,21 Aug 2022,"Matrix Partners, Blume Ventures",2021.0
FundFlow,AHMEDABAD,AI/ML,ipo,946 Cr,08 Nov 2017,"SoftBank, B Capital",
PlayTime Games,Chennai,Saas,Pre-Seed,215,04/08/2021,General Atlantic,2019.0
HealthLink,delhi,BEAUTYTECH,series d,303,23/07/2016,"Sequoia Capital, Ranjan Pai, TPG, Norwest Venture",
Rebel Foods,chennai,Saas,series_b,315 Cr,04 Sep 2022,Peak XV Partners,2018.0
EVStation,Chennai,Agri-Tech,series a,INR 914 Crore,02-11-2016,"SoftBank, Peak XV Partners",2010.0
ShopEasy,Noida,TRAVELTECH,Series E,₹117 Cr,2023/08/18,DST Global,2022.0
GreenWheels,ahmedabad,SAAS,Series B,INR 80 Crore,2024/01/12,"Lightspeed, Endiya Partners, B Capital",2012.0
SmartScholar,BENGALURU,GAMING,Bridge,INR 899 Crore,06/11/2022,SoftBank,2022.0
AgriConnect,BLR,Travel-Tech,Series-B,3526,2015/07/05,"Inventus Capital, 3one4 Capital, Prosus Ventures",2014.0
Postman,NOIDA,FoodTech,Seed,₹55 Cr,01/12/2016,"Y Combinator, Matrix Partners, Mukesh Bansal",2010.0
BoAt,DELHI,Prop-Tech,Series A,INR 1438 Crore,2023/12/14,"Accel, Inventus Capital",2019.0
ExamReady,HYD,saas,Series-B,₹47 Cr,22-02-2024,"Y Combinator, DST Global, Ranjan Pai",2020.0
TaskHero,pune,Games,BRIDGE,INR 186 Crore,28 Nov 2022,"Matrix Partners, Ranjan Pai",2015.0
FreshDeli,Gurgaon,FT,Series B,306,20 Aug 2021,"Info Edge, Peak XV Partners",2008.0
AgriConnect,NOIDA,TRAVELTECH,bridge,694 Cr,2018/06/22,"Coatue, Peak XV Partners",2018.0
 VitalCare,BLR,AgriTech,Pre Series A,INR 456 Crore,08-03-2022,B Capital,2017.0
AgriBoost,HYD,GAMING,Pre-Series A,Undisclosed,2019/12/15,"Elevation Capital, Naspers, Norwest Venture",2010.0
Paytm,NOIDA,Health-Tech,Series-A,INR 69 Crore,02 Sep 2022,"Ranjan Pai, Peak XV Partners, Steadview Capital",2019.0
VitalCare,Bengaluru,Agri Tech,SERIES C,INR 1431 Crore,20-12-2016,"Info Edge, SoftBank, Blume Ventures, Elevation Capital",
SmartShop,Noida,Travel-Tech,series_b,₹13 Cr,21-12-2020,"Norwest Venture, B Capital",2019.0
